set_id,dim_name_1,dim_value_1,dim_name_2,dim_value_2,dim_name_3,dim_value_3,dim_name_4,dim_value_4,dim_name_5,dim_value_5,dim_name_6,dim_value_6
1000001,SEX,F,PREGNANCY,Y,,,,,,,,
1000002,SEX,F,PREGNANCY,N,,,,,,,,
1000003,SEX,M,PREGNANCY,Y,,,,,,,,
1000004,SEX,M,PREGNANCY,N,,,,,,,,
1000005,SEX,U,PREGNANCY,Y,,,,,,,,
1000006,SEX,U,PREGNANCY,N,,,,,,,,
